"YEAR","Priv_Open_West","Priv_Open_Central","Priv_Open_East","Priv_Closed_West","Priv_Closed_Central","Priv_Closed_East"
1981,23484.830028261,179403.361269297,76356.7322043789,0,0,0
1982,4082.91132383226,13168.7673965289,0,0,0,0
1983,627.574984872759,4470.01706931282,0,0,0,0
1984,43560.5265617859,0,82405.0536912116,0,0,0
1985,204989.952057027,924.550268652128,41324.2804867279,0,0,0
1986,38582.4975618749,13528.2303797861,11687.6193991099,0,0,0
1987,120037.703960147,113798.52331361,3103.33840315325,0,0,0
1988,529273.296378583,9132.68539064005,35687.1728449131,0,0,0
1989,371122.301024051,323027.725237764,7021.85430712052,0,0,0
1990,422257.72114146,772204.562309108,21540.3438799883,0,0,0
1991,410624.877083026,1587532.2758827,78277.0151769453,0,0,0
1992,450630.118722056,1315576.96625776,80073.0897295893,0,0,0
1993,528829.309342682,1657181.79440065,29725.7776643733,0,0,0
1994,1213187.39406523,940421.511021996,38863.9225537097,0,0,0
1995,1942649.59345247,226084.13639467,13967.4623756842,0,0,0
1996,413057.787975903,1014854.17467042,35811.0918144209,0,0,0
1997,482627.172589473,2024065.2310273,25990.345007124,5802.85579887468,243966.849214025,0
1998,739975.438172852,831317.522155852,12660.4482599773,51692.8618453836,281523.994632707,52944.6147972385
1999,2006894.89178386,2312349.70233219,26439.8568613581,30495.8277122464,371640.353429883,23419.0446111072
2000,547257.270499329,1316588.01881379,66168.5803008572,178706.915629136,1245757.68449164,1555.67057536096
2001,458869.443330013,1673859.22830553,5729.33849924274,55734.9453579492,2698897.80653845,0
2002,723429.413059981,3289215.51547478,6873.98696234674,64181.704367845,3136650.83926565,0
2003,1413721.50826224,2425088.63201448,2069.0291061486,338459.777761422,1924069.36271266,2919.81526775806
2004,2967126.66545396,3415205.82335428,25300.999794875,219802.023649347,1089848.70136935,67293.0333765409
2005,1880348.8735781,2388489.4180246,92921.4985346162,144177.329263682,1639565.24390311,36258.1592109615
2006,2060151.70088998,2892932.26029718,30938.3249501233,180231.054382625,1280177.0242056,24378.1218228517
2007,916910.048607594,4146942.702509,43270.4650166399,153301.627064215,1549033.14501165,0
2008,1193048.10211702,929749.682325074,4081.00074930902,414570.487515849,3426382.46005351,36400.045540299
2009,795670.351705058,1497497.06843978,51470.6483449408,329753.801593893,2339130.96935649,51364.2793591544
2010,721046.443711662,1024478.88516938,24247.0196202472,331822.771150928,3401431.53584264,105220.757139454
2011,900650.426888716,881732.851799465,8013.54978961388,434583.871394005,2847782.69750071,1492564.76255824
2012,459849.488365826,684465.601830525,3687.31139152098,230126.252443396,3286845.91108272,10601.0202506228
2013,1288673.66138846,1641115.79175038,3025.698505246,547569.74355428,3230273.91752738,5490.19786385596
2014,537588.410690403,453373.728030058,6504.01043411216,87796.6719236698,3411620.37853971,42881.3226619644
2015,609306.951049076,1029774.23941662,3795.59843616648,143825.045482599,2127988.51621248,20205.5951857285
2016,99173.4456283527,1533347.95197904,38495.1776370695,19683.3159364751,3949247.19203418,669665.560435586
2017,320399.519195372,2727021.58316327,61761.1437280817,0,5539612.77351775,198965.669493148
2018,380820.989858021,1052638.48656505,123726.65631869,0,3972805.73671013,523312.821418298
2019,844184.09615764,1186892.91244454,61010.4268709095,0,4577791.52475949,334141.354809714
